,additional_underlyings,cfi,contract_tye,correction,exercise_style,expiration_date,primary_exchange,shares_per_contract,strike_price,ticker,underlying_ticker
6916,,OPASPS,put,,american,2023-10-13,BATO,100,19.5,O:PLTR231013P00019500,PLTR
6917,,OPASPS,put,,american,2023-10-13,BATO,100,20.0,O:PLTR231013P00020000,PLTR
6918,,OPASPS,put,,american,2023-10-13,BATO,100,20.5,O:PLTR231013P00020500,PLTR
6919,,OPASPS,put,,american,2023-10-13,BATO,100,21.0,O:PLTR231013P00021000,PLTR
6920,,OPASPS,put,,american,2023-10-13,BATO,100,22.0,O:PLTR231013P00022000,PLTR
6921,,OPASPS,put,,american,2023-10-13,BATO,100,23.0,O:PLTR231013P00023000,PLTR
6922,,OPASPS,put,,american,2023-10-13,BATO,100,24.0,O:PLTR231013P00024000,PLTR
6923,,OPASPS,put,,american,2023-10-13,BATO,100,25.0,O:PLTR231013P00025000,PLTR
6924,,OPASPS,put,,american,2023-10-13,BATO,100,26.0,O:PLTR231013P00026000,PLTR
6925,,OPASPS,put,,american,2023-10-13,BATO,100,27.0,O:PLTR231013P00027000,PLTR
6926,,OPASPS,put,,american,2023-10-13,BATO,100,28.0,O:PLTR231013P00028000,PLTR
6927,,OPASPS,put,,american,2023-10-13,BATO,100,29.0,O:PLTR231013P00029000,PLTR
6928,,OPASPS,put,,american,2023-10-13,BATO,100,30.0,O:PLTR231013P00030000,PLTR
6929,,OPASPS,put,,american,2023-10-20,BATO,100,1.0,O:PLTR231020P00001000,PLTR
6930,,OPASPS,put,,american,2023-10-20,BATO,100,2.0,O:PLTR231020P00002000,PLTR
6931,,OPASPS,put,,american,2023-10-20,BATO,100,3.0,O:PLTR231020P00003000,PLTR
6932,,OPASPS,put,,american,2023-10-20,BATO,100,4.0,O:PLTR231020P00004000,PLTR
6933,,OPASPS,put,,american,2023-10-20,BATO,100,5.0,O:PLTR231020P00005000,PLTR
6934,,OPASPS,put,,american,2023-10-20,BATO,100,6.0,O:PLTR231020P00006000,PLTR
6935,,OPASPS,put,,american,2023-10-20,BATO,100,7.0,O:PLTR231020P00007000,PLTR
6936,,OPASPS,put,,american,2023-10-20,BATO,100,8.0,O:PLTR231020P00008000,PLTR
6937,,OPASPS,put,,american,2023-10-20,BATO,100,9.0,O:PLTR231020P00009000,PLTR
6938,,OPASPS,put,,american,2023-10-20,BATO,100,10.0,O:PLTR231020P00010000,PLTR
6939,,OPASPS,put,,american,2023-10-20,BATO,100,11.0,O:PLTR231020P00011000,PLTR
6940,,OPASPS,put,,american,2023-10-20,BATO,100,12.0,O:PLTR231020P00012000,PLTR
6941,,OPASPS,put,,american,2023-10-20,BATO,100,13.0,O:PLTR231020P00013000,PLTR
6942,,OPASPS,put,,american,2023-10-20,BATO,100,14.0,O:PLTR231020P00014000,PLTR
6943,,OPASPS,put,,american,2023-10-20,BATO,100,15.0,O:PLTR231020P00015000,PLTR
